id,name
cebd474d-c561-4285-b8f5-db0a258dbde9,HOSPICE OF THE GOOD SHEPHERD INC
c01ae108-b049-488a-9db4-de12cc047b53,SPECIALIZED HEALTH MANAGEMENT INC
90729e01-9163-44be-a5aa-49502e825bd5,Eric B. Chandler Health Center
a6c1451f-b8f8-46fe-8298-7e319eecd124,Aspire Indiana Health Mobile Clinic
0a91e5af-6994-4254-834c-7dbc673cf2b2,MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION INC
3da312ab-ec09-48cf-bc28-6f3800e0c2e0,Atlantic care health services
dacc4c2d-bdaa-411b-b7e8-7aed73d435a1,TROUP BEHAVIORAL HEALTH LLC
97beb4cd-7237-43a3-9f41-630367079742,DCS MENTAL HEALTH INC
e72de667-2dc7-4b46-8cc9-03c87a244b81,UPWARD HEALTH OF MASSACHUSETTS PC
5a311d7b-f7f3-4c26-bfda-e06b26bb890e,ERICKSON HEALTH MEDICAL GROUP OF MASSACHUSETTS PC
187f373d-f5e7-487a-92ef-6ef4a3b75f8a,Progress Healthcare LLC
d1e98672-bd2e-448e-af3d-60c395ca5987,HYANNIS FAMILY MEDICAL CARE PC
2c848cd4-f120-4cd6-bfb7-61824dc25cf0,"Newark community health centers, inc"
efd437d8-932b-4792-a215-9a4c7c93ac93,NORWELL VISITING NURSE ASSOCIATION INC
25d6754a-39d6-4a0e-8811-ecb8a0a64f1d,zufall health center
35e75776-c871-4154-93c0-e239621d2283,PINNACLE HEALTHCARE SERVICES LLC
59240cf3-4091-4504-80d6-6347f6d2e249,ANDREW M ROMANOWSKY MD LLC
f028457a-072a-4b79-86ca-045391b27e2e,PINNACLE HEALTH MANAGEMENT LLP
a28e4d48-7ea4-4a69-bb05-61e357fd579f,Community Medical Group
4083a14e-1422-4b1e-9cda-f71be8d02f80,Tender Care Home Health & Hospice
c11f1df4-63c9-4d21-958f-f864e5af7a75,Landmark Health
9c8664c6-b55d-4028-ad19-bb599edd971b,HealthMax Home Health Care
e0435f9d-eea1-49f1-b4fa-988948528bed,Comfort Keepers of El Paso
a0f57a8b-a9c6-488b-83ce-7c9039182c26,Ennoble Care Kansas
f33e79ad-a7c5-47e6-81b7-4483a7b69bda,APC Home Health Service
1c244a6a-5509-4285-baaf-2853e87dd28c,"Saving Grace Health, OKLAHOMA"
